year,Country Name,value,Country Code,Indicator Name,Indicator Code
1990,Somalia,583.0,SOM,Mixed migration to Italy,ETH.TO.ITA
1990,Somalia,1083.0,SOM,Mixed migration to Sweden,ETH.TO.SWE
1990,Somalia,1827.0,SOM,Mixed migration to United Kingdom,ETH.TO.GBR
1990,Uganda,46.0,UGA,Mixed migration to Denmark,ETH.TO.DNK
1990,Uganda,27.0,UGA,Mixed migration to Italy,ETH.TO.ITA
1990,Uganda,429.0,UGA,Mixed migration to Sweden,ETH.TO.SWE
1990,Uganda,1734.0,UGA,Mixed migration to United Kingdom,ETH.TO.GBR
1990,Zambia,1.0,ZMB,Mixed migration to United Kingdom,ETH.TO.GBR
1990,Zimbabwe,3.0,ZWE,Mixed migration to United Kingdom,ETH.TO.GBR
1991,Burundi,23.799999999999997,BDI,Mixed migration to Denmark,ETH.TO.DNK
1991,Comoros,2.0,COM,Mixed migration to Denmark,ETH.TO.DNK
1991,Djibouti,29.6,DJI,Mixed migration to United Kingdom,ETH.TO.GBR
1991,Eritrea,706.8,ERI,Mixed migration to Italy,ETH.TO.ITA
1991,Ethiopia,321.20000000000005,ETH,Mixed migration to Denmark,ETH.TO.DNK
1991,Ethiopia,925.0,ETH,Mixed migration to Italy,ETH.TO.ITA
1991,Ethiopia,8801.4,ETH,Mixed migration to Sweden,ETH.TO.SWE
1991,Ethiopia,1978.6,ETH,Mixed migration to United Kingdom,ETH.TO.GBR
1991,Kenya,40.799999999999955,KEN,Mixed migration to Denmark,ETH.TO.DNK
1991,Kenya,61.200000000000045,KEN,Mixed migration to Sweden,ETH.TO.SWE
1991,Kenya,1372.800000000003,KEN,Mixed migration to United Kingdom,ETH.TO.GBR
1991,Madagascar,3.200000000000003,MDG,Mixed migration to Sweden,ETH.TO.SWE
1991,Mozambique,275.6,MOZ,Mixed migration to United Kingdom,ETH.TO.GBR
1991,Rwanda,12.8,RWA,Mixed migration to Denmark,ETH.TO.DNK
1991,Rwanda,196.0,RWA,Mixed migration to United Kingdom,ETH.TO.GBR
1991,Seychelles,69.80000000000001,SYC,Mixed migration to Italy,ETH.TO.ITA
1991,Seychelles,67.0,SYC,Mixed migration to United Kingdom,ETH.TO.GBR
1991,Somalia,1849.2,SOM,Mixed migration to Denmark,ETH.TO.DNK
1991,Somalia,660.0,SOM,Mixed migration to Italy,ETH.TO.ITA
1991,Somalia,3416.7999999999993,SOM,Mixed migration to Sweden,ETH.TO.SWE
1991,Somalia,5660.799999999999,SOM,Mixed migration to United Kingdom,ETH.TO.GBR
1991,Uganda,109.19999999999999,UGA,Mixed migration to Denmark,ETH.TO.DNK
1991,Uganda,58.0,UGA,Mixed migration to Italy,ETH.TO.ITA
1991,Uganda,618.2,UGA,Mixed migration to Sweden,ETH.TO.SWE
1991,Uganda,2044.0,UGA,Mixed migration to United Kingdom,ETH.TO.GBR
1991,Zambia,395.7999999999993,ZMB,Mixed migration to United Kingdom,ETH.TO.GBR
1991,Zimbabwe,2653.5999999999985,ZWE,Mixed migration to United Kingdom,ETH.TO.GBR
1992,Burundi,23.799999999999997,BDI,Mixed migration to Denmark,ETH.TO.DNK
1992,Comoros,2.0,COM,Mixed migration to Denmark,ETH.TO.DNK
1992,Djibouti,29.6,DJI,Mixed migration to United Kingdom,ETH.TO.GBR
1992,Ethiopia,324.19999999999993,ETH,Mixed migration to Denmark,ETH.TO.DNK
1992,Ethiopia,880.0,ETH,Mixed migration to Italy,ETH.TO.ITA
1992,Ethiopia,8949.4,ETH,Mixed migration to Sweden,ETH.TO.SWE
1992,Ethiopia,4136.6,ETH,Mixed migration to United Kingdom,ETH.TO.GBR
1992,Kenya,44.80000000000007,KEN,Mixed migration to Denmark,ETH.TO.DNK
1992,Kenya,72.20000000000005,KEN,Mixed migration to Sweden,ETH.TO.SWE
1992,Kenya,1390.800000000003,KEN,Mixed migration to United Kingdom,ETH.TO.GBR
1992,Madagascar,3.1999999999999957,MDG,Mixed migration to Sweden,ETH.TO.SWE
1992,Rwanda,51.599999999999994,RWA,Mixed migration to Italy,ETH.TO.ITA
1992,Rwanda,10.399999999999991,RWA,Mixed migration to Sweden,ETH.TO.SWE
1992,Rwanda,196.0,RWA,Mixed migration to United Kingdom,ETH.TO.GBR
1992,Seychelles,69.80000000000001,SYC,Mixed migration to Italy,ETH.TO.ITA
1992,Seychelles,59.0,SYC,Mixed migration to United Kingdom,ETH.TO.GBR
1992,Somalia,2468.2,SOM,Mixed migration to Denmark,ETH.TO.DNK
1992,Somalia,716.0,SOM,Mixed migration to Italy,ETH.TO.ITA
1992,Somalia,4814.800000000001,SOM,Mixed migration to Sweden,ETH.TO.SWE
1992,Somalia,7882.800000000001,SOM,Mixed migration to United Kingdom,ETH.TO.GBR
1992,Uganda,140.2,UGA,Mixed migration to Denmark,ETH.TO.DNK
1992,Uganda,54.0,UGA,Mixed migration to Italy,ETH.TO.ITA
1992,Uganda,674.2,UGA,Mixed migration to Sweden,ETH.TO.SWE
1992,Uganda,3154.0,UGA,Mixed migration to United Kingdom,ETH.TO.GBR
1992,Zimbabwe,2653.600000000002,ZWE,Mixed migration to United Kingdom,ETH.TO.GBR
1993,Burundi,26.80000000000001,BDI,Mixed migration to Denmark,ETH.TO.DNK
1993,Burundi,3.4000000000000057,BDI,Mixed migration to Sweden,ETH.TO.SWE
1993,Comoros,2.0,COM,Mixed migration to Denmark,ETH.TO.DNK
1993,Djibouti,2.799999999999997,DJI,Mixed migration to Sweden,ETH.TO.SWE
1993,Djibouti,29.60000000000001,DJI,Mixed migration to United Kingdom,ETH.TO.GBR
1993,Eritrea,91.60000000000036,ERI,Mixed migration to Sweden,ETH.TO.SWE
1993,Ethiopia,340.20000000000005,ETH,Mixed migration to Denmark,ETH.TO.DNK
1993,Ethiopia,751.0,ETH,Mixed migration to Italy,ETH.TO.ITA
1993,Ethiopia,8895.400000000001,ETH,Mixed migration to Sweden,ETH.TO.SWE
1993,Ethiopia,5662.6,ETH,Mixed migration to United Kingdom,ETH.TO.GBR
1993,Kenya,46.799999999999955,KEN,Mixed migration to Denmark,ETH.TO.DNK
1993,Kenya,82.19999999999982,KEN,Mixed migration to Sweden,ETH.TO.SWE
1993,Kenya,1385.7999999999884,KEN,Mixed migration to United Kingdom,ETH.TO.GBR
1993,Madagascar,3.200000000000003,MDG,Mixed migration to Sweden,ETH.TO.SWE
1993,Mozambique,0.0,MOZ,Mixed migration to South Africa,ETH.TO.ZAF
1993,Rwanda,15.800000000000004,RWA,Mixed migration to Denmark,ETH.TO.DNK
1993,Rwanda,52.60000000000002,RWA,Mixed migration to Italy,ETH.TO.ITA
1993,Rwanda,15.400000000000006,RWA,Mixed migration to Sweden,ETH.TO.SWE
1993,Rwanda,195.0,RWA,Mixed migration to United Kingdom,ETH.TO.GBR
1993,Seychelles,27.0,SYC,Mixed migration to United Kingdom,ETH.TO.GBR
1993,Somalia,3700.2000000000003,SOM,Mixed migration to Denmark,ETH.TO.DNK
1993,Somalia,10718.0,SOM,Mixed migration to Italy,ETH.TO.ITA
1993,Somalia,5466.799999999999,SOM,Mixed migration to Sweden,ETH.TO.SWE
1993,Somalia,10983.800000000001,SOM,Mixed migration to United Kingdom,ETH.TO.GBR
1993,Uganda,174.20000000000005,UGA,Mixed migration to Denmark,ETH.TO.DNK
1993,Uganda,53.0,UGA,Mixed migration to Italy,ETH.TO.ITA
1993,Uganda,693.1999999999998,UGA,Mixed migration to Sweden,ETH.TO.SWE
1993,Uganda,4194.0,UGA,Mixed migration to United Kingdom,ETH.TO.GBR
1993,Zimbabwe,2652.5999999999985,ZWE,Mixed migration to United Kingdom,ETH.TO.GBR
1994,Burundi,26.799999999999997,BDI,Mixed migration to Denmark,ETH.TO.DNK
1994,Burundi,50.19999999999999,BDI,Mixed migration to Italy,ETH.TO.ITA
1994,Burundi,8.399999999999991,BDI,Mixed migration to Sweden,ETH.TO.SWE
1994,Comoros,2.0,COM,Mixed migration to Denmark,ETH.TO.DNK
1994,Djibouti,2.8000000000000043,DJI,Mixed migration to Sweden,ETH.TO.SWE
1994,Djibouti,29.599999999999994,DJI,Mixed migration to United Kingdom,ETH.TO.GBR
1994,Eritrea,129.5999999999999,ERI,Mixed migration to Sweden,ETH.TO.SWE
1994,Ethiopia,340.19999999999993,ETH,Mixed migration to Denmark,ETH.TO.DNK
1994,Ethiopia,613.0,ETH,Mixed migration to Italy,ETH.TO.ITA
1994,Ethiopia,0.0,ETH,Mixed migration to South Africa,ETH.TO.ZAF
1994,Ethiopia,8851.4,ETH,Mixed migration to Sweden,ETH.TO.SWE
1994,Ethiopia,5692.6,ETH,Mixed migration to United Kingdom,ETH.TO.GBR
1994,Kenya,46.80000000000007,KEN,Mixed migration to Denmark,ETH.TO.DNK
1994,Kenya,91.20000000000005,KEN,Mixed migration to Sweden,ETH.TO.SWE
1994,Kenya,1385.800000000003,KEN,Mixed migration to United Kingdom,ETH.TO.GBR
1994,Madagascar,3.1999999999999957,MDG,Mixed migration to Sweden,ETH.TO.SWE
1994,Malawi,6.199999999999996,MWI,Mixed migration to Sweden,ETH.TO.SWE
1994,Mozambique,21000.0,MOZ,Mixed migration to South Africa,ETH.TO.ZAF
1994,Rwanda,15.799999999999997,RWA,Mixed migration to Denmark,ETH.TO.DNK
1994,Rwanda,72.59999999999997,RWA,Mixed migration to Italy,ETH.TO.ITA
1994,Rwanda,0.0,RWA,Mixed migration to South Africa,ETH.TO.ZAF
1994,Rwanda,48.39999999999999,RWA,Mixed migration to Sweden,ETH.TO.SWE
1994,Seychelles,25.0,SYC,Mixed migration to United Kingdom,ETH.TO.GBR
1994,Somalia,4597.2,SOM,Mixed migration to Denmark,ETH.TO.DNK
1994,Somalia,10727.0,SOM,Mixed migration to Italy,ETH.TO.ITA
1994,Somalia,0.0,SOM,Mixed migration to South Africa,ETH.TO.ZAF
1994,Somalia,7512.800000000001,SOM,Mixed migration to Sweden,ETH.TO.SWE
1994,Somalia,12560.8,SOM,Mixed migration to United Kingdom,ETH.TO.GBR
1994,Uganda,174.19999999999993,UGA,Mixed migration to Denmark,ETH.TO.DNK
1994,Uganda,48.0,UGA,Mixed migration to Italy,ETH.TO.ITA
1994,Uganda,830.2000000000003,UGA,Mixed migration to Sweden,ETH.TO.SWE
1994,Uganda,4180.0,UGA,Mixed migration to United Kingdom,ETH.TO.GBR
1994,Zimbabwe,2650.600000000002,ZWE,Mixed migration to United Kingdom,ETH.TO.GBR
1995,Burundi,26.799999999999997,BDI,Mixed migration to Denmark,ETH.TO.DNK
1995,Burundi,52.19999999999999,BDI,Mixed migration to Italy,ETH.TO.ITA
1995,Burundi,9.400000000000006,BDI,Mixed migration to Sweden,ETH.TO.SWE
1995,Comoros,2.0,COM,Mixed migration to Denmark,ETH.TO.DNK
1995,Djibouti,2.799999999999997,DJI,Mixed migration to Sweden,ETH.TO.SWE
1995,Djibouti,29.599999999999994,DJI,Mixed migration to United Kingdom,ETH.TO.GBR
1995,Eritrea,145.5999999999999,ERI,Mixed migration to Sweden,ETH.TO.SWE
1995,Ethiopia,340.20000000000005,ETH,Mixed migration to Denmark,ETH.TO.DNK
1995,Ethiopia,542.0,ETH,Mixed migration to Italy,ETH.TO.ITA
1995,Ethiopia,0.0,ETH,Mixed migration to South Africa,ETH.TO.ZAF
1995,Ethiopia,8555.4,ETH,Mixed migration to Sweden,ETH.TO.SWE
1995,Ethiopia,5681.6,ETH,Mixed migration to United Kingdom,ETH.TO.GBR
1995,Kenya,46.799999999999955,KEN,Mixed migration to Denmark,ETH.TO.DNK
1995,Kenya,96.20000000000005,KEN,Mixed migration to Sweden,ETH.TO.SWE
1995,Kenya,1400.800000000003,KEN,Mixed migration to United Kingdom,ETH.TO.GBR
1995,Madagascar,3.200000000000003,MDG,Mixed migration to Sweden,ETH.TO.SWE
1995,Malawi,6.200000000000003,MWI,Mixed migration to Sweden,ETH.TO.SWE
1995,Mozambique,20701.0,MOZ,Mixed migration to South Africa,ETH.TO.ZAF
1995,Rwanda,15.799999999999997,RWA,Mixed migration to Denmark,ETH.TO.DNK
1995,Rwanda,120.60000000000002,RWA,Mixed migration to Italy,ETH.TO.ITA
1995,Rwanda,15.0,RWA,Mixed migration to South Africa,ETH.TO.ZAF
1995,Rwanda,48.400000000000006,RWA,Mixed migration to Sweden,ETH.TO.SWE
1995,Seychelles,25.0,SYC,Mixed migration to United Kingdom,ETH.TO.GBR
1995,Somalia,5777.2,SOM,Mixed migration to Denmark,ETH.TO.DNK
1995,Somalia,10000.0,SOM,Mixed migration to Italy,ETH.TO.ITA
1995,Somalia,0.0,SOM,Mixed migration to South Africa,ETH.TO.ZAF
1995,Somalia,7671.799999999999,SOM,Mixed migration to Sweden,ETH.TO.SWE
1995,Somalia,14757.8,SOM,Mixed migration to United Kingdom,ETH.TO.GBR
1995,Uganda,174.20000000000005,UGA,Mixed migration to Denmark,ETH.TO.DNK
1995,Uganda,39.0,UGA,Mixed migration to Italy,ETH.TO.ITA
1995,Uganda,815.1999999999998,UGA,Mixed migration to Sweden,ETH.TO.SWE
1995,Uganda,4136.0,UGA,Mixed migration to United Kingdom,ETH.TO.GBR
1995,Zimbabwe,2650.5999999999985,ZWE,Mixed migration to United Kingdom,ETH.TO.GBR
1996,Burundi,71.80000000000001,BDI,Mixed migration to Denmark,ETH.TO.DNK
1996,Burundi,69.19999999999999,BDI,Mixed migration to Italy,ETH.TO.ITA
1996,Burundi,15.200000000000003,BDI,Mixed migration to Sweden,ETH.TO.SWE
1996,Comoros,2.0,COM,Mixed migration to Denmark,ETH.TO.DNK
1996,Djibouti,2.799999999999997,DJI,Mixed migration to Sweden,ETH.TO.SWE
1996,Djibouti,30.19999999999999,DJI,Mixed migration to United Kingdom,ETH.TO.GBR
1996,Eritrea,121.40000000000009,ERI,Mixed migration to Sweden,ETH.TO.SWE
1996,Ethiopia,242.20000000000005,ETH,Mixed migration to Denmark,ETH.TO.DNK
1996,Ethiopia,481.0,ETH,Mixed migration to Italy,ETH.TO.ITA
1996,Ethiopia,13.0,ETH,Mixed migration to South Africa,ETH.TO.ZAF
1996,Ethiopia,7791.799999999999,ETH,Mixed migration to Sweden,ETH.TO.SWE
1996,Ethiopia,5687.0,ETH,Mixed migration to United Kingdom,ETH.TO.GBR
1996,Kenya,46.60000000000002,KEN,Mixed migration to Denmark,ETH.TO.DNK
1996,Kenya,79.20000000000005,KEN,Mixed migration to Sweden,ETH.TO.SWE
1996,Kenya,1812.800000000003,KEN,Mixed migration to United Kingdom,ETH.TO.GBR
1996,Madagascar,2.0,MDG,Mixed migration to Sweden,ETH.TO.SWE
1996,Malawi,5.600000000000001,MWI,Mixed migration to Sweden,ETH.TO.SWE
1996,Rwanda,15.799999999999997,RWA,Mixed migration to Denmark,ETH.TO.DNK
1996,Rwanda,152.39999999999998,RWA,Mixed migration to Italy,ETH.TO.ITA
1996,Rwanda,96.0,RWA,Mixed migration to South Africa,ETH.TO.ZAF
1996,Rwanda,47.599999999999994,RWA,Mixed migration to Sweden,ETH.TO.SWE
1996,Seychelles,25.0,SYC,Mixed migration to United Kingdom,ETH.TO.GBR
1996,Somalia,7465.2,SOM,Mixed migration to Denmark,ETH.TO.DNK
1996,Somalia,10000.0,SOM,Mixed migration to Italy,ETH.TO.ITA
1996,Somalia,719.0,SOM,Mixed migration to South Africa,ETH.TO.ZAF
1996,Somalia,7651.799999999999,SOM,Mixed migration to Sweden,ETH.TO.SWE
1996,Somalia,18409.4,SOM,Mixed migration to United Kingdom,ETH.TO.GBR
1996,Uganda,169.20000000000005,UGA,Mixed migration to Denmark,ETH.TO.DNK
1996,Uganda,34.0,UGA,Mixed migration to Italy,ETH.TO.ITA
1996,Uganda,783.4000000000001,UGA,Mixed migration to Sweden,ETH.TO.SWE
1996,Uganda,4297.0,UGA,Mixed migration to United Kingdom,ETH.TO.GBR
1996,Zimbabwe,2765.5999999999985,ZWE,Mixed migration to United Kingdom,ETH.TO.GBR
1997,Burundi,112.79999999999998,BDI,Mixed migration to Denmark,ETH.TO.DNK
1997,Burundi,82.19999999999999,BDI,Mixed migration to Italy,ETH.TO.ITA
1997,Burundi,43.200000000000045,BDI,Mixed migration to South Africa,ETH.TO.ZAF
1997,Burundi,15.200000000000003,BDI,Mixed migration to Sweden,ETH.TO.SWE
1997,Comoros,2.0,COM,Mixed migration to Denmark,ETH.TO.DNK
1997,Djibouti,7.800000000000004,DJI,Mixed migration to Sweden,ETH.TO.SWE
1997,Djibouti,30.200000000000017,DJI,Mixed migration to United Kingdom,ETH.TO.GBR
1997,Eritrea,664.8000000000002,ERI,Mixed migration to Italy,ETH.TO.ITA
1997,Eritrea,136.4000000000001,ERI,Mixed migration to Sweden,ETH.TO.SWE
1997,Ethiopia,154.19999999999993,ETH,Mixed migration to Denmark,ETH.TO.DNK
1997,Ethiopia,401.0,ETH,Mixed migration to Italy,ETH.TO.ITA
1997,Ethiopia,0.0,ETH,Mixed migration to South Africa,ETH.TO.ZAF
1997,Ethiopia,6512.800000000001,ETH,Mixed migration to Sweden,ETH.TO.SWE
1997,Ethiopia,5601.0,ETH,Mixed migration to United Kingdom,ETH.TO.GBR
1997,Kenya,48.60000000000002,KEN,Mixed migration to Denmark,ETH.TO.DNK
1997,Kenya,93.60000000000002,KEN,Mixed migration to Italy,ETH.TO.ITA
1997,Kenya,80.20000000000005,KEN,Mixed migration to Sweden,ETH.TO.SWE
1997,Kenya,1837.800000000003,KEN,Mixed migration to United Kingdom,ETH.TO.GBR
1997,Madagascar,2.0,MDG,Mixed migration to Sweden,ETH.TO.SWE
1997,Malawi,5.600000000000001,MWI,Mixed migration to Sweden,ETH.TO.SWE
1997,Rwanda,24.799999999999997,RWA,Mixed migration to Denmark,ETH.TO.DNK
1997,Rwanda,174.40000000000003,RWA,Mixed migration to Italy,ETH.TO.ITA
1997,Rwanda,0.0,RWA,Mixed migration to South Africa,ETH.TO.ZAF
1997,Rwanda,54.60000000000001,RWA,Mixed migration to Sweden,ETH.TO.SWE
1997,Rwanda,313.60000000000014,RWA,Mixed migration to United Kingdom,ETH.TO.GBR
1997,Seychelles,25.0,SYC,Mixed migration to United Kingdom,ETH.TO.GBR
